MatrixID	Name	Class	Family	Type	UniprotID	SpeciesName	BaseID	TaxGroup	Cluster	ClusterColor	ClusterDesc
MA1049.2	ERF094	AP2/EREBP	ERF/DREB	PBM	Q9LND1	Arabidopsis thaliana	MA1049	plants	cluster_24	184,134,11	ERF_DREB_B
MA1050.1	OsI_08196	TCP		PBM	A2X7K8	Oryza sativa Indica Group	MA1050	plants	cluster_01	240,248,255	ARF_TCP
MA1051.1	RAP2-3	AP2/EREBP	ERF/DREB	PBM	P42736	Arabidopsis thaliana	MA1051	plants	cluster_24	184,134,11	ERF_DREB_B
MA1053.1	ERF109	AP2/EREBP	ERF/DREB	PBM	Q9SZ06	Arabidopsis thaliana	MA1053	plants	cluster_24	184,134,11	ERF_DREB_B
MA1054.2	ARALYDRAFT_897773	TCP		PBM	D7L3Y2	Arabidopsis lyrata subsp. lyrata	MA1054	plants	cluster_01	240,248,255	ARF_TCP
MA1055.3	SPL1	C3H(C),C2HC zinc fingers factors	SBP	SELEX	Q9SMX9	Arabidopsis thaliana	MA1055	plants	cluster_28	189,183,107	SPL_A
MA1056.2	SPL11	C3H(C),C2HC zinc fingers factors	SBP	PBM	Q9FZK0	Arabidopsis thaliana	MA1056	plants	cluster_28	189,183,107	SPL_A
MA1057.2	SPL12	C3H(C),C2HC zinc fingers factors	SBP	PBM	Q9S7P5	Arabidopsis thaliana	MA1057	plants	cluster_28	189,183,107	SPL_A
MA1058.2	SPL4	C3H(C),C2HC zinc fingers factors	SBP	PBM	Q9S7A9	Arabidopsis thaliana	MA1058	plants	cluster_28	189,183,107	SPL_A
MA1059.3	SPL5	C3H(C),C2HC zinc fingers factors	SBP	DAP-seq	Q9S758	Arabidopsis thaliana	MA1059	plants	cluster_28	189,183,107	SPL_A
MA1060.2	SPL7	C3H(C),C2HC zinc fingers factors	SBP	PBM	Q8S9G8	Arabidopsis thaliana	MA1060	plants	cluster_28	189,183,107	SPL_A
MA1061.2	SPT	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9FUA4	Arabidopsis thaliana	MA1061	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1062.3	TCP15	TCP		DAP-seq	Q9C9L2	Arabidopsis thaliana	MA1062	plants	cluster_01	240,248,255	ARF_TCP
MA1063.2	TCP19	TCP		PBM	Q9LT89	Arabidopsis thaliana	MA1063	plants	cluster_01	240,248,255	ARF_TCP
MA1064.2	TCP2	TCP		PBM	Q93V43	Arabidopsis thaliana	MA1064	plants	cluster_01	240,248,255	ARF_TCP
MA1065.3	TCP20	TCP		DAP-seq	Q9LSD5	Arabidopsis thaliana	MA1065	plants	cluster_01	240,248,255	ARF_TCP
MA1066.1	TCP23	TCP		PBM	Q9LQF0	Arabidopsis thaliana	MA1066	plants	cluster_01	240,248,255	ARF_TCP
MA1067.1	TCP5	TCP		PBM	Q9FME3	Arabidopsis thaliana	MA1067	plants	cluster_01	240,248,255	ARF_TCP
MA1068.3	TGA2	Basic leucine zipper factors (bZIP)	Group D		P43273	Arabidopsis thaliana	MA1068	plants	cluster_14	95,158,160	BZIP_TGA
MA1069.3	TGA6	Basic leucine zipper factors (bZIP)	Group D		Q39140	Arabidopsis thaliana	MA1069	plants	cluster_14	95,158,160	BZIP_TGA
MA1070.3	TGA7	Basic leucine zipper factors (bZIP)	Group D		Q93ZE2	Arabidopsis thaliana	MA1070	plants	cluster_14	95,158,160	BZIP_TGA
MA1071.2	DOF5.3	Other C4 zinc finger-type factors	DOF	PBM	Q84TE9	Arabidopsis thaliana	MA1071	plants	cluster_03	0,255,255	DOF_CDF
MA1074.2	UNE10	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q8GZ38	Arabidopsis thaliana	MA1074	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1075.1	WRKY12	GCM domain factors	WRKY	PBM	Q93WY4	Arabidopsis thaliana	MA1075	plants	cluster_10	0,0,255	WRKY
MA1076.3	WRKY15	GCM domain factors	WRKY	DAP-seq	O22176	Arabidopsis thaliana	MA1076	plants	cluster_10	0,0,255	WRKY
MA1077.2	WRKY18	GCM domain factors	WRKY	PBM	Q9C5T4	Arabidopsis thaliana	MA1077	plants	cluster_10	0,0,255	WRKY
MA1078.2	WRKY2	GCM domain factors	WRKY	PBM	Q9FG77	Arabidopsis thaliana	MA1078	plants	cluster_10	0,0,255	WRKY
MA1079.3	WRKY21	GCM domain factors	WRKY		O04336	Arabidopsis thaliana	MA1079	plants	cluster_10	0,0,255	WRKY
MA1080.1	WRKY23	GCM domain factors	WRKY	PBM	O22900	Arabidopsis thaliana	MA1080	plants	cluster_10	0,0,255	WRKY
MA1081.3	WRKY25	GCM domain factors	WRKY		O22921	Arabidopsis thaliana	MA1081	plants	cluster_10	0,0,255	WRKY
MA1083.3	WRKY30	GCM domain factors	WRKY		Q9FL62	Arabidopsis thaliana	MA1083	plants	cluster_10	0,0,255	WRKY
MA1084.1	WRKY38	GCM domain factors	WRKY	PBM	Q8GWF1	Arabidopsis thaliana	MA1084	plants	cluster_10	0,0,255	WRKY
MA1085.3	WRKY40	GCM domain factors	WRKY	ChIP-seq	Q9SAH7	Arabidopsis thaliana	MA1085	plants	cluster_10	0,0,255	WRKY
MA1086.2	WRKY43	GCM domain factors	WRKY	PBM	Q8GY11	Arabidopsis thaliana	MA1086	plants	cluster_10	0,0,255	WRKY
MA1087.3	WRKY45	GCM domain factors	WRKY		Q9S763	Arabidopsis thaliana	MA1087	plants	cluster_10	0,0,255	WRKY
MA1088.2	WRKY48	GCM domain factors	WRKY	PBM	Q9FGZ4	Arabidopsis thaliana	MA1088	plants	cluster_10	0,0,255	WRKY
MA1089.2	WRKY57	GCM domain factors	WRKY	PBM	Q9C983	Arabidopsis thaliana	MA1089	plants	cluster_10	0,0,255	WRKY
MA1090.2	WRKY60	GCM domain factors	WRKY	PBM	Q9SK33	Arabidopsis thaliana	MA1090	plants	cluster_10	0,0,255	WRKY
MA1091.1	WRKY62	GCM domain factors	WRKY	PBM	Q9LZV6	Arabidopsis thaliana	MA1091	plants	cluster_10	0,0,255	WRKY
MA1092.2	WRKY63	GCM domain factors	WRKY	PBM	Q9C6H5	Arabidopsis thaliana	MA1092	plants	cluster_10	0,0,255	WRKY
MA1093.2	WRKY75	GCM domain factors	WRKY	PBM	Q9FYA2	Arabidopsis thaliana	MA1093	plants	cluster_10	0,0,255	WRKY
MA1094.3	WRKY8	GCM domain factors	WRKY		Q9FL26	Arabidopsis thaliana	MA1094	plants	cluster_10	0,0,255	WRKY
MA1095.1	ARALYDRAFT_495258	TCP		PBM	D7MRK3	Arabidopsis lyrata subsp. lyrata	MA1095	plants	cluster_01	240,248,255	ARF_TCP
MA1096.1	ARALYDRAFT_496250	TCP		PBM	D7MUG0	Arabidopsis lyrata subsp. lyrata	MA1096	plants	cluster_01	240,248,255	ARF_TCP
MA1097.1	ARALYDRAFT_493022	TCP		PBM	D7MCT1	Arabidopsis lyrata subsp. lyrata	MA1097	plants	cluster_01	240,248,255	ARF_TCP
MA1098.1	ARALYDRAFT_484486	TCP		PBM	D7LRC3	Arabidopsis lyrata subsp. lyrata	MA1098	plants	cluster_01	240,248,255	ARF_TCP
MA1156.2	JKD	C2H2 zinc finger factors	IDD	DAP-seq	Q700D2	Arabidopsis thaliana	MA1156	plants	cluster_08	0,0,0	C2H2_DOF
MA1157.2	NUC	C2H2 zinc finger factors	IDD	DAP-seq	Q9FFH3	Arabidopsis thaliana	MA1157	plants	cluster_08	0,0,0	C2H2_DOF
MA1158.2	MGP	C2H2 zinc finger factors	IDD	DAP-seq	Q9ZWA6	Arabidopsis thaliana	MA1158	plants	cluster_08	0,0,0	C2H2_DOF
MA1159.2	SGR5	C2H2 zinc finger factors	IDD	DAP-seq	F4IPE3	Arabidopsis thaliana	MA1159	plants	cluster_08	0,0,0	C2H2_DOF
MA1160.2	IDD6	C2H2 zinc finger factors	IDD	DAP-seq	Q8RWX7	Arabidopsis thaliana	MA1160	plants	cluster_08	0,0,0	C2H2_DOF
MA1161.1	TSO1	CPP		DAP-seq	Q9LUI3	Arabidopsis thaliana	MA1161	plants	cluster_06	245,245,220	CPP
MA1162.1	TCX2	CPP		DAP-seq	F4JIF5	Arabidopsis thaliana	MA1162	plants	cluster_06	245,245,220	CPP
MA1163.3	PHL11	Tryptophan cluster factors	GARP_G2-like		C0SVS4	Arabidopsis thaliana	MA1163	plants	cluster_04	127,255,212	HSF_GARP
MA1164.2	HHO5	Tryptophan cluster factors	GARP_G2-like	DAP-seq	F4JRB0	Arabidopsis thaliana	MA1164	plants	cluster_04	127,255,212	HSF_GARP
MA1165.3	HHO6	Tryptophan cluster factors	GARP_G2-like		Q9FX84	Arabidopsis thaliana	MA1165	plants	cluster_04	127,255,212	HSF_GARP
MA1166.2	PHL12	Tryptophan cluster factors	GARP_G2-like	DAP-seq	Q8VYI2	Arabidopsis thaliana	MA1166	plants	cluster_04	127,255,212	HSF_GARP
MA1167.2	EFM	Tryptophan cluster factors	GARP_G2-like	DAP-seq	Q9ZQ85	Arabidopsis thaliana	MA1167	plants	cluster_04	127,255,212	HSF_GARP
MA1168.2	MYR2	Tryptophan cluster factors	GARP_G2-like	DAP-seq	Q9SQQ9	Arabidopsis thaliana	MA1168	plants	cluster_04	127,255,212	HSF_GARP
MA1169.1	MYB105	Tryptophan cluster factors	Myb	DAP-seq	Q9SEZ4	Arabidopsis thaliana	MA1169	plants	cluster_11	138,43,226	MYB
MA1170.2	MYB118	Tryptophan cluster factors	MYB	DAP-seq	Q9LVW4	Arabidopsis thaliana	MA1170	plants	cluster_11	138,43,226	MYB
MA1171.2	MYB52	Tryptophan cluster factors	MYB	DAP-seq	Q6R0C4	Arabidopsis thaliana	MA1171	plants	cluster_11	138,43,226	MYB
MA1172.2	MYB3R5	Tryptophan cluster factors	MYB	DAP-seq	Q6R032	Arabidopsis thaliana	MA1172	plants	cluster_11	138,43,226	MYB
MA1173.2	MYB101	Tryptophan cluster factors	MYB	DAP-seq	O80883	Arabidopsis thaliana	MA1173	plants	cluster_11	138,43,226	MYB
MA1174.2	MYB56	Tryptophan cluster factors	MYB	DAP-seq	Q6R053	Arabidopsis thaliana	MA1174	plants	cluster_11	138,43,226	MYB
MA1175.2	MYB81	Tryptophan cluster factors	MYB	DAP-seq	Q9SLH1	Arabidopsis thaliana	MA1175	plants	cluster_11	138,43,226	MYB
MA1176.2	MYB119	Tryptophan cluster factors	MYB	DAP-seq	Q9FIM4	Arabidopsis thaliana	MA1176	plants	cluster_11	138,43,226	MYB
MA1177.2	MYB65	Tryptophan cluster factors	MYB	DAP-seq	Q9FR97	Arabidopsis thaliana	MA1177	plants	cluster_11	138,43,226	MYB
MA1178.3	MYB3R1	Tryptophan cluster factors	MYB		Q9S7G7	Arabidopsis thaliana	MA1178	plants	cluster_11	138,43,226	MYB
MA1179.2	MYB1	Tryptophan cluster factors	MYB	DAP-seq	Q42575	Arabidopsis thaliana	MA1179	plants	cluster_11	138,43,226	MYB
MA1180.2	MYB3R4	Tryptophan cluster factors	MYB	DAP-seq	Q94FL9	Arabidopsis thaliana	MA1180	plants	cluster_11	138,43,226	MYB
MA1181.2	MYB113	Tryptophan cluster factors	MYB	DAP-seq	Q9FNV9	Arabidopsis thaliana	MA1181	plants	cluster_11	138,43,226	MYB
MA1182.2	RVE8	Tryptophan cluster factors	MYB-related	DAP-seq	Q8RWU3	Arabidopsis thaliana	MA1182	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1183.2	RVE6	Tryptophan cluster factors	MYB-related	DAP-seq	Q8H0W3	Arabidopsis thaliana	MA1183	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1184.2	RVE1	Tryptophan cluster factors	MYB-related	DAP-seq	F4KGY6	Arabidopsis thaliana	MA1184	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1185.2	LHY	Tryptophan cluster factors	MYB-related	DAP-seq	F4HQG9	Arabidopsis thaliana	MA1185	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1186.2	YAB4	Tryptophan cluster factors	MYB-related	DAP-seq	Q9M9A3	Arabidopsis thaliana	MA1186	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1187.2	RVE4	Tryptophan cluster factors	MYB-related	DAP-seq	Q6R0G4	Arabidopsis thaliana	MA1187	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1188.1	At3g11280	Tryptophan cluster factors	Myb-related	DAP-seq		Arabidopsis thaliana	MA1188	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1189.2	AT5G61620	Tryptophan cluster factors	MYB-related	DAP-seq	Q9FKF9	Arabidopsis thaliana	MA1189	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1190.2	RVE5	Tryptophan cluster factors	MYB-related	DAP-seq	C0SVG5	Arabidopsis thaliana	MA1190	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1191.2	RVE7L	Tryptophan cluster factors	MYB-related	DAP-seq	F4J2J6	Arabidopsis thaliana	MA1191	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1192.2	DIV1	Tryptophan cluster factors	MYB-related	DAP-seq		Arabidopsis thaliana	MA1192	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1193.2	AT2G38090	Tryptophan cluster factors	MYB-related	DAP-seq		Arabidopsis thaliana	MA1193	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1194.2	AT3G10580	Tryptophan cluster factors	MYB-related	DAP-seq		Arabidopsis thaliana	MA1194	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1195.2	AT5G56840	Tryptophan cluster factors	MYB-related	DAP-seq		Arabidopsis thaliana	MA1195	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1196.2	AT5G05790	Tryptophan cluster factors	MYB-related	DAP-seq		Arabidopsis thaliana	MA1196	plants	cluster_05	240,255,255	Tryptophan_cluster
MA1197.2	CAMTA1	GCM domain factors	CAMTA	DAP-seq	Q9FY74	Arabidopsis thaliana	MA1197	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1198.2	HAT2	Homeo domain factors	HD-ZIP	DAP-seq	P46601	Arabidopsis thaliana	MA1198	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1199.1	AGL16	MADS box factors	MIKC	DAP-seq	A2RVQ5	Arabidopsis thaliana	MA1199	plants	cluster_23	0,139,139	MIKC
MA1202.1	AGL55	MADS box factors	Type I	DAP-seq	Q9C960	Arabidopsis thaliana	MA1202	plants	cluster_43	105,105,105	AGL55
MA1203.1	AGL63	MADS box factors	MIKC	DAP-seq	Q9SA07	Arabidopsis thaliana	MA1203	plants	cluster_23	0,139,139	MIKC
MA1204.1	AGL13	MADS box factors	MIKC	DAP-seq	Q38837	Arabidopsis thaliana	MA1204	plants	cluster_23	0,139,139	MIKC
MA1205.1	AGL6	MADS box factors	MIKC	DAP-seq	P29386	Arabidopsis thaliana	MA1205	plants	cluster_23	0,139,139	MIKC
MA1206.2	ARF2	B3	ARF	DAP-seq	Q94JM3	Arabidopsis thaliana	MA1206	plants	cluster_17	255,127,80	ARF_RAV
MA1207.2	GT-3a	Tryptophan cluster factors	Trihelix	DAP-seq	Q9SDW0	Arabidopsis thaliana	MA1207	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1208.2	GT-2	Tryptophan cluster factors	Trihelix	DAP-seq	Q39117	Arabidopsis thaliana	MA1208	plants	cluster_10	0,0,255	WRKY
MA1209.2	ATHB-20	Homeo domain factors	HD-ZIP	DAP-seq	Q8LAT0	Arabidopsis thaliana	MA1209	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1210.3	HAT22	Homeo domain factors	HD-ZIP		P46604	Arabidopsis thaliana	MA1210	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1211.2	ATHB-X	Homeo domain factors	HD-ZIP	DAP-seq	A9Z1E8	Arabidopsis thaliana	MA1211	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1212.2	ATHB-13	Homeo domain factors	HD-ZIP	DAP-seq	Q8LC03	Arabidopsis thaliana	MA1212	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1213.3	ZHD3	Homeo domain factors	PLINC		O64722	Arabidopsis thaliana	MA1213	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1214.2	ATHB-40	Homeo domain factors	HD-ZIP	DAP-seq	O23208	Arabidopsis thaliana	MA1214	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1215.2	ATHB-53	Homeo domain factors	HD-ZIP	DAP-seq	Q9LVR0	Arabidopsis thaliana	MA1215	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1218.2	DREB1D	AP2/EREBP	ERF/DREB	DAP-seq	Q9FJ93	Arabidopsis thaliana	MA1218	plants	cluster_15	127,255,0	ERF_DREB_A
MA1219.3	ERF011	AP2/EREBP	ERF/DREB		Q9SNE1	Arabidopsis thaliana	MA1219	plants	cluster_15	127,255,0	ERF_DREB_A
MA1220.2	TINY	AP2/EREBP	ERF/DREB	DAP-seq	Q39127	Arabidopsis thaliana	MA1220	plants	cluster_15	127,255,0	ERF_DREB_A
MA1221.1	RAP2-6	AP2/EREBP	ERF/DREB	DAP-seq	Q7G1L2	Arabidopsis thaliana	MA1221	plants	cluster_24	184,134,11	ERF_DREB_B
MA1222.1	ERF014	AP2/EREBP	ERF/DREB	DAP-seq	Q9LPE8	Arabidopsis thaliana	MA1222	plants	cluster_24	184,134,11	ERF_DREB_B
MA1223.2	ERF035	AP2/EREBP	ERF/DREB	DAP-seq	Q9M210	Arabidopsis thaliana	MA1223	plants	cluster_15	127,255,0	ERF_DREB_A
MA1225.1	ERF5	AP2/EREBP	ERF/DREB	DAP-seq	O80341	Arabidopsis thaliana	MA1225	plants	cluster_24	184,134,11	ERF_DREB_B
MA1226.2	DREB2G	AP2/EREBP	ERF/DREB	DAP-seq	P61827	Arabidopsis thaliana	MA1226	plants	cluster_24	184,134,11	ERF_DREB_B
MA1227.3	ERF027	AP2/EREBP	ERF/DREB	DAP-seq	Q38Q39	Arabidopsis thaliana	MA1227	plants	cluster_15	127,255,0	ERF_DREB_A
MA1228.2	ERF091	AP2/EREBP	ERF/DREB	DAP-seq	Q8LBQ7	Arabidopsis thaliana	MA1228	plants	cluster_24	184,134,11	ERF_DREB_B
MA1229.2	ERF034	AP2/EREBP	ERF/DREB	DAP-seq	Q8LBQ7	Arabidopsis thaliana	MA1229	plants	cluster_15	127,255,0	ERF_DREB_A
MA1230.2	ERF037	AP2/EREBP	ERF/DREB	DAP-seq	O80654	Arabidopsis thaliana	MA1230	plants	cluster_15	127,255,0	ERF_DREB_A
MA1231.3	ERF15	AP2/EREBP	ERF/DREB		Q8VYM0	Arabidopsis thaliana	MA1231	plants	cluster_24	184,134,11	ERF_DREB_B
MA1232.2	ERF054	AP2/EREBP	ERF/DREB	DAP-seq	Q9M0J3	Arabidopsis thaliana	MA1232	plants	cluster_15	127,255,0	ERF_DREB_A
MA1233.3	ERF021	AP2/EREBP	ERF/DREB	DAP-seq	Q9C9I2	Arabidopsis thaliana	MA1233	plants	cluster_15	127,255,0	ERF_DREB_A
MA1234.2	ERF017	AP2/EREBP	ERF/DREB	DAP-seq	Q84QC2	Arabidopsis thaliana	MA1234	plants	cluster_15	127,255,0	ERF_DREB_A
MA1235.1	AIL7	AP2/EREBP	AP2	DAP-seq	Q6J9N8	Arabidopsis thaliana	MA1235	plants	cluster_31	255,140,0	AIL_ANT_PLT1
MA1238.3	ERF038	AP2/EREBP	ERF/DREB	DAP-seq	Q9ZQP3	Arabidopsis thaliana	MA1238	plants	cluster_15	127,255,0	ERF_DREB_A
MA1239.2	ERF104	AP2/EREBP	ERF/DREB	DAP-seq	Q9FKG1	Arabidopsis thaliana	MA1239	plants	cluster_24	184,134,11	ERF_DREB_B
MA1240.2	ERF077	AP2/EREBP	ERF/DREB	DAP-seq	Q9ZWA2	Arabidopsis thaliana	MA1240	plants	cluster_24	184,134,11	ERF_DREB_B
MA1241.2	ERF043	AP2/EREBP	ERF/DREB	DAP-seq	Q9M080	Arabidopsis thaliana	MA1241	plants	cluster_15	127,255,0	ERF_DREB_A
MA1242.1	DREB2F	AP2/EREBP	ERF/DREB	DAP-seq	Q9SVX5	Arabidopsis thaliana	MA1242	plants	cluster_24	184,134,11	ERF_DREB_B
MA1243.2	DREB2E	AP2/EREBP	ERF/DREB	DAP-seq	O80917	Arabidopsis thaliana	MA1243	plants	cluster_15	127,255,0	ERF_DREB_A
MA1244.2	ABR1	AP2/EREBP	ERF/DREB	DAP-seq	Q9FGF8	Arabidopsis thaliana	MA1244	plants	cluster_24	184,134,11	ERF_DREB_B
MA1245.3	ERF112	AP2/EREBP	ERF/DREB	DAP-seq	P93007	Arabidopsis thaliana	MA1245	plants	cluster_24	184,134,11	ERF_DREB_B
MA1246.2	LEP	AP2/EREBP	ERF/DREB	DAP-seq	Q9M644	Arabidopsis thaliana	MA1246	plants	cluster_24	184,134,11	ERF_DREB_B
MA1247.2	ERF087	AP2/EREBP	ERF/DREB	DAP-seq	Q9FZ90	Arabidopsis thaliana	MA1247	plants	cluster_24	184,134,11	ERF_DREB_B
MA1248.2	ERF012	AP2/EREBP	ERF/DREB	DAP-seq	Q9SFE4	Arabidopsis thaliana	MA1248	plants	cluster_15	127,255,0	ERF_DREB_A
MA1250.2	DREB2D	AP2/EREBP	ERF/DREB	DAP-seq	Q9LQZ2	Arabidopsis thaliana	MA1250	plants	cluster_24	184,134,11	ERF_DREB_B
MA1251.2	RAP2-9	AP2/EREBP	ERF/DREB	DAP-seq	Q8W3M3	Arabidopsis thaliana	MA1251	plants	cluster_15	127,255,0	ERF_DREB_A
MA1252.2	ERF086	AP2/EREBP	ERF/DREB	DAP-seq	Q6J9Q2	Arabidopsis thaliana	MA1252	plants	cluster_24	184,134,11	ERF_DREB_B
MA1253.2	ERF036	AP2/EREBP	ERF/DREB	DAP-seq	Q9LU18	Arabidopsis thaliana	MA1253	plants	cluster_15	127,255,0	ERF_DREB_A
MA1256.2	RAP2-12	AP2/EREBP	ERF/DREB	DAP-seq	Q9SSA8	Arabidopsis thaliana	MA1256	plants	cluster_24	184,134,11	ERF_DREB_B
MA1257.2	ERF9	AP2/EREBP	ERF/DREB	DAP-seq	Q9FE67	Arabidopsis thaliana	MA1257	plants	cluster_37	47,79,79	ERF9_AS2
MA1258.2	DREB2A	AP2/EREBP	ERF/DREB	DAP-seq	O82132	Arabidopsis thaliana	MA1258	plants	cluster_15	127,255,0	ERF_DREB_A
MA1259.2	ERF023	AP2/EREBP	ERF/DREB	DAP-seq	Q1ECI2	Arabidopsis thaliana	MA1259	plants	cluster_15	127,255,0	ERF_DREB_A
MA1260.2	ERF013	AP2/EREBP	ERF/DREB	DAP-seq	Q9CAP4	Arabidopsis thaliana	MA1260	plants	cluster_15	127,255,0	ERF_DREB_A
MA1261.2	ERF122	AP2/EREBP	ERF/DREB	DAP-seq	Q38Q40	Arabidopsis thaliana	MA1261	plants	cluster_24	184,134,11	ERF_DREB_B
MA1262.2	ERF2	AP2/EREBP	ERF/DREB	DAP-seq	O80338	Arabidopsis thaliana	MA1262	plants	cluster_24	184,134,11	ERF_DREB_B
MA1263.2	ERF055	AP2/EREBP	ERF/DREB	DAP-seq	Q9SKW5	Arabidopsis thaliana	MA1263	plants	cluster_15	127,255,0	ERF_DREB_A
MA1264.2	ERF095	AP2/EREBP	ERF/DREB	DAP-seq	Q9LTC6	Arabidopsis thaliana	MA1264	plants	cluster_24	184,134,11	ERF_DREB_B
MA1265.3	ERF015	AP2/EREBP	ERF/DREB	DAP-seq	Q6NLD5	Arabidopsis thaliana	MA1265	plants	cluster_15	127,255,0	ERF_DREB_A
MA1266.2	RAP2-11	AP2/EREBP	ERF/DREB	DAP-seq	Q6J9S1	Arabidopsis thaliana	MA1266	plants	cluster_24	184,134,11	ERF_DREB_B
MA1267.2	DOF5.8	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9FGD6	Arabidopsis thaliana	MA1267	plants	cluster_08	0,0,0	C2H2_DOF
MA1268.2	CDF5	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9SEZ3	Arabidopsis thaliana	MA1268	plants	cluster_08	0,0,0	C2H2_DOF
MA1269.2	DOF4.5	Other C4 zinc finger-type factors	DOF	DAP-seq	O49550	Arabidopsis thaliana	MA1269	plants	cluster_03	0,255,255	DOF_CDF
MA1270.2	DOF3.2	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9M1E6	Arabidopsis thaliana	MA1270	plants	cluster_08	0,0,0	C2H2_DOF
MA1272.3	DOF2.2	Other C4 zinc finger-type factors	DOF		Q9ZV33	Arabidopsis thaliana	MA1272	plants	cluster_03	0,255,255	DOF_CDF
MA1273.2	DOF4.2	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9SUB1	Arabidopsis thaliana	MA1273	plants	cluster_03	0,255,255	DOF_CDF
MA1274.1	DOF3.6	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9M2U1	Arabidopsis thaliana	MA1274	plants	cluster_08	0,0,0	C2H2_DOF
MA1275.2	DOF1.6	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9SX97	Arabidopsis thaliana	MA1275	plants	cluster_03	0,255,255	DOF_CDF
MA1276.2	DOF3.5	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9SVC5	Arabidopsis thaliana	MA1276	plants	cluster_03	0,255,255	DOF_CDF
MA1277.2	DOF1.7	Other C4 zinc finger-type factors	DOF	DAP-seq	O82155	Arabidopsis thaliana	MA1277	plants	cluster_03	0,255,255	DOF_CDF
MA1278.2	DOF3.4	Other C4 zinc finger-type factors	DOF	DAP-seq	Q39088	Arabidopsis thaliana	MA1278	plants	cluster_08	0,0,0	C2H2_DOF
MA1279.2	DOF1.5	Other C4 zinc finger-type factors	DOF	DAP-seq	P68350	Arabidopsis thaliana	MA1279	plants	cluster_08	0,0,0	C2H2_DOF
MA1280.2	DOF5.4	Other C4 zinc finger-type factors	DOF	DAP-seq	Q8LDR0	Arabidopsis thaliana	MA1280	plants	cluster_03	0,255,255	DOF_CDF
MA1281.2	DOF5.1	Other C4 zinc finger-type factors	DOF	DAP-seq	Q9LZ56	Arabidopsis thaliana	MA1281	plants	cluster_08	0,0,0	C2H2_DOF
MA1282.2	TCP13	TCP		DAP-seq	Q9S7W5	Arabidopsis thaliana	MA1282	plants	cluster_01	240,248,255	ARF_TCP
MA1283.2	TCP14	TCP		DAP-seq	Q93Z00	Arabidopsis thaliana	MA1283	plants	cluster_01	240,248,255	ARF_TCP
MA1284.2	TCP1	TCP		DAP-seq	Q9FYG7	Arabidopsis thaliana	MA1284	plants	cluster_01	240,248,255	ARF_TCP
MA1285.2	TCP9	TCP		DAP-seq	O64647	Arabidopsis thaliana	MA1285	plants	cluster_01	240,248,255	ARF_TCP
MA1286.2	TCP24	TCP		DAP-seq	Q9C758	Arabidopsis thaliana	MA1286	plants	cluster_01	240,248,255	ARF_TCP
MA1287.2	TCP21	TCP		DAP-seq	Q9FTA2	Arabidopsis thaliana	MA1287	plants	cluster_01	240,248,255	ARF_TCP
MA1288.2	TCP22	TCP		DAP-seq	Q9C7G4	Arabidopsis thaliana	MA1288	plants	cluster_01	240,248,255	ARF_TCP
MA1289.2	TCP3	TCP		DAP-seq	Q9MAH8	Arabidopsis thaliana	MA1289	plants	cluster_01	240,248,255	ARF_TCP
MA1290.1	TCP17	TCP		DAP-seq	Q9LEZ9	Arabidopsis thaliana	MA1290	plants	cluster_01	240,248,255	ARF_TCP
MA1291.1	TCP7	TCP		DAP-seq	Q9FMX2	Arabidopsis thaliana	MA1291	plants	cluster_01	240,248,255	ARF_TCP
